Estructura,Datos
Universidad,Pontificia Universidad Católica del Perú
Título,Una aplicación de la regresión de Cox con puntos de cambio en las covariables
Nombre del tesista,"Trujillo Angeles, Lucía Inés"
Grado,Magíster en Estadística
Profesión,Estadística
Asesor,"Doig Camino, Elizabeth"
Resumen,"El siguiente trabajo de tesis, estudiará el modelo de regresión de Cox con puntos de cambio en las covariables propuesto por Jensen y Lutkebohmert (2008), realizando el desarrollo y la aplicación para una base de líneas móviles postpago. El objetivo es obtener los parámetros de las covariables y el nuevo parámetro en el modelo que es el punto de cambio, para analizar la manera como estas covariables tienen influencia en la desactivación de una línea a solicitud del cliente."
Año,2014
