Estructura,Datos
Universidad,Pontificia Universidad Católica del Perú
Título,Un enfoque de credibilidad bajo espacios de Hilbert y su estimación mediante modelos lineales mixtos
Nombre del tesista,"Ruíz Arias, Raúl Alberto"
Grado,Magíster en Estadística
Profesión,Estadística
Asesor,"Valdivieso Serrano, Luis Hilmar"
Resumen,"La teoría de la credibilidad provee un conjunto de métodos que permiten a una compañía de seguros ajustar las primas futuras, sobre la base de la experiencia pasada individual e información de toda la  cartera. En este trabajo presentaremos los principales modelos de credibilidad utilizados en la práctica, como lo son los  modelos de Bühlmann (1967), Bühlmann-Straub (1970), Jewell (1975) y Hachemeister (1975), todos ellos analizados en  sus propiedades desde un punto de vista geométrico a través de la teoría de espacios de Hilbert y en su estimación mediante el uso de los modelos lineales mixtos. Mediante un estudio de simulación se mostrará la ventaja de utilizar este último enfoque de estimación."
Año,2012
